what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1452610236094
started,bundle,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui",1452610236094
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1452610236094
started,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1452610236094
os,sysinfo,,,"win32",1452610236097
arch,sysinfo,,,"x86",1452610236097
ws,sysinfo,,,"win32",1452610236097
locale,sysinfo,,,"en_US",1452610236097
processors,sysinfo,,,"4",1452610236097
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1452610236097
java.runtime.version,sysinfo,,,"1.8.0_66-b18",1452610236097
java.specification.name,sysinfo,,,"Java Platform API Specification",1452610236097
java.specification.vendor,sysinfo,,,"Oracle Corporation",1452610236097
java.specification.version,sysinfo,,,"1.8",1452610236097
java.vendor,sysinfo,,,"Oracle Corporation",1452610236097
java.version,sysinfo,,,"1.8.0_66",1452610236097
java.vm.info,sysinfo,,,"mixed mode",1452610236097
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1452610236097
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1452610236097
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1452610236097
java.vm.specification.version,sysinfo,,,"1.8",1452610236097
java.vm.vendor,sysinfo,,,"Oracle Corporation",1452610236097
java.vm.version,sysinfo,,,"25.66-b18",1452610236097
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1452610236288
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1452610236290
started,bundle,org.eclipse.dltk.core.index.sql,2.0.1.v20100909-1720,"org.eclipse.dltk.core.index.sql",1452610236540
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1452610236731
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1452610236840
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1452610239042
started,bundle,org.eclipse.dltk.core.index.sql.h2,2.0.1.v20100909-1720,"org.eclipse.dltk.core.index.sql.h2",1452610239058
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1452610239291
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1452610239324
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1452610239521
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1452610239535
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1452610239825
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1452610239862
started,bundle,org.eclipse.php.debug.daemon,2.2.0.v20101001-2300,"org.eclipse.php.debug.daemon",1452610239897
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1452610239924
